X                     	Y                     	FLY0                  	FF                    	FLY                   	Exact                 	Error                 
-1.899999999999977E-01	+9.894172957594286E-01	+5.640354341086162E-01	-5.532921611968921E-03	+5.585025124966473E-01	+5.585023565496749E-01	+1.559469723355633E-07
-1.799999999999997E-01	+9.904797506080671E-01	+5.654354962987382E-01	-5.532918428039136E-03	+5.599025778706991E-01	+5.599027291615060E-01	+1.512908068823648E-07
-1.700000000000017E-01	+9.914893413355185E-01	+5.667683527520730E-01	-5.532915416218167E-03	+5.612354373358549E-01	+5.612352811779953E-01	+1.561578596431801E-07
-1.600000000000001E-01	+9.924453388387853E-01	+5.680315261366500E-01	-5.532912576505267E-03	+5.624986135601447E-01	+5.624987646456869E-01	+1.510855421882340E-07
-1.499999999999986E-01	+9.933470468618758E-01	+5.692250513960738E-01	-5.532909908899723E-03	+5.636921414871741E-01	+5.636919851323873E-01	+1.563547867844406E-07
-1.400000000000006E-01	+9.941938034347880E-01	+5.703465611193641E-01	-5.532907413400875E-03	+5.648136537059633E-01	+5.648138046018355E-01	+1.508958722418186E-07
-1.299999999999990E-01	+9.949849822589968E-01	+5.713962058149978E-01	-5.532905090008098E-03	+5.658633007249897E-01	+5.658631441902406E-01	+1.565347490517510E-07
-1.200000000000010E-01	+9.957199940338275E-01	+5.723717390861633E-01	-5.532902938720816E-03	+5.668388361474426E-01	+5.668389868721622E-01	+1.507247195942085E-07
-1.099999999999994E-01	+9.963982877182584E-01	+5.732734376579740E-01	-5.532900959538486E-03	+5.677405366984355E-01	+5.677403800035126E-01	+1.566949229259151E-07
-1.000000000000014E-01	+9.970193517228607E-01	+5.740991863074647E-01	-5.532899152460622E-03	+5.685662871550041E-01	+5.685664377298026E-01	+1.505747985186545E-07
-8.999999999999986E-02	+9.975827150268258E-01	+5.748493975984406E-01	-5.532897517486770E-03	+5.693165000809538E-01	+5.693163432482337E-01	+1.568327201439956E-07
-7.999999999999829E-02	+9.980879482152656E-01	+5.755220965188348E-01	-5.532896054616522E-03	+5.699892004642183E-01	+5.699893509127589E-01	+1.504485406256251E-07
-7.000000000000028E-02	+9.985346644322778E-01	+5.761178398816063E-01	-5.532894763849514E-03	+5.705849451177567E-01	+5.705847881718831E-01	+1.569458736305762E-07
-6.000000000000227E-02	+9.989225202455799E-01	+5.766348006267947E-01	-5.532893645185426E-03	+5.711019069816093E-01	+5.711020573296612E-01	+1.503480518971756E-07
-5.000000000000071E-02	+9.992512164188699E-01	+5.770736868522446E-01	-5.532892698623976E-03	+5.715407941536206E-01	+5.715406371211462E-01	+1.570324743571661E-07
-3.999999999999915E-02	+9.995204985884553E-01	+5.774328257435319E-01	-5.532891924164931E-03	+5.718999338193670E-01	+5.719000840943828E-01	+1.502750157644783E-07
-3.000000000000114E-02	+9.997301578410953E-01	+5.777130822048266E-01	-5.532891321808094E-03	+5.721801908830185E-01	+5.721800337919655E-01	+1.570910530546143E-07
-1.999999999999957E-02	+9.998800311904351E-01	+5.779129423870142E-01	-5.532890891553318E-03	+5.723800514954609E-01	+5.723802017261493E-01	+1.502306884448856E-07
-9.999999999998010E-03	+9.999700019498505E-01	+5.780334318965200E-01	-5.532890633400497E-03	+5.725005412631196E-01	+5.725003841425211E-01	+1.571205984207680E-07
+0.000000000000000E+00	+1.000000000000000E+00	+5.780731988998344E-01	-5.532890547349564E-03	+5.725403083524849E-01	+5.725404585683117E-01	+1.502158267774334E-07
+9.999999999998010E-03	+9.999700019498505E-01	+5.780334318965205E-01	-5.532890633400497E-03	+5.725005412631200E-01	+5.725003841425211E-01	+1.571205988648572E-07
+1.999999999999957E-02	+9.998800311904351E-01	+5.779129423870140E-01	-5.532890891553318E-03	+5.723800514954607E-01	+5.723802017261493E-01	+1.502306886669302E-07
+3.000000000000114E-02	+9.997301578410953E-01	+5.777130822048265E-01	-5.532891321808094E-03	+5.721801908830184E-01	+5.721800337919655E-01	+1.570910529435920E-07
+3.999999999999915E-02	+9.995204985884553E-01	+5.774328257435306E-01	-5.532891924164931E-03	+5.718999338193657E-01	+5.719000840943828E-01	+1.502750170967460E-07
+5.000000000000071E-02	+9.992512164188699E-01	+5.770736868522455E-01	-5.532892698623976E-03	+5.715407941536215E-01	+5.715406371211462E-01	+1.570324752453445E-07
+6.000000000000227E-02	+9.989225202455799E-01	+5.766348006267970E-01	-5.532893645185426E-03	+5.711019069816116E-01	+5.711020573296612E-01	+1.503480496767295E-07
+7.000000000000028E-02	+9.985346644322778E-01	+5.761178398816055E-01	-5.532894763849514E-03	+5.705849451177559E-01	+5.705847881718831E-01	+1.569458728534201E-07
+7.999999999999829E-02	+9.980879482152656E-01	+5.755220965188341E-01	-5.532896054616522E-03	+5.699892004642176E-01	+5.699893509127589E-01	+1.504485412917589E-07
+8.999999999999986E-02	+9.975827150268258E-01	+5.748493975984421E-01	-5.532897517486770E-03	+5.693165000809554E-01	+5.693163432482337E-01	+1.568327216983079E-07
+1.000000000000014E-01	+9.970193517228607E-01	+5.740991863074656E-01	-5.532899152460622E-03	+5.685662871550050E-01	+5.685664377298026E-01	+1.505747976304761E-07
+1.099999999999994E-01	+9.963982877182584E-01	+5.732734376579725E-01	-5.532900959538486E-03	+5.677405366984339E-01	+5.677403800035126E-01	+1.566949213716029E-07
+1.200000000000010E-01	+9.957199940338275E-01	+5.723717390861636E-01	-5.532902938720816E-03	+5.668388361474428E-01	+5.668389868721622E-01	+1.507247193721639E-07
+1.299999999999990E-01	+9.949849822589968E-01	+5.713962058149988E-01	-5.532905090008098E-03	+5.658633007249907E-01	+5.658631441902406E-01	+1.565347500509517E-07
+1.400000000000006E-01	+9.941938034347880E-01	+5.703465611193644E-01	-5.532907413400875E-03	+5.648136537059636E-01	+5.648138046018355E-01	+1.508958719087516E-07
+1.499999999999986E-01	+9.933470468618758E-01	+5.692250513960742E-01	-5.532909908899723E-03	+5.636921414871744E-01	+5.636919851323873E-01	+1.563547871175075E-07
+1.600000000000001E-01	+9.924453388387853E-01	+5.680315261366506E-01	-5.532912576505267E-03	+5.624986135601454E-01	+5.624987646456869E-01	+1.510855415221002E-07
+1.700000000000017E-01	+9.914893413355185E-01	+5.667683527520739E-01	-5.532915416218167E-03	+5.612354373358558E-01	+5.612352811779953E-01	+1.561578605313585E-07
+1.799999999999997E-01	+9.904797506080671E-01	+5.654354962987396E-01	-5.532918428039136E-03	+5.599025778707004E-01	+5.599027291615060E-01	+1.512908055500972E-07
+1.899999999999977E-01	+9.894172957594286E-01	+5.640354341086161E-01	-5.532921611968921E-03	+5.585025124966472E-01	+5.585023565496749E-01	+1.559469722245410E-07
+1.999999999999993E-01	+9.883027372528531E-01	+5.625682353165157E-01	-5.532924968008317E-03	+5.570353103485074E-01	+5.570354618571208E-01	+1.515086134329380E-07
